     Value     Square       Cube,     Fourth,      Fifth
     -----     ------       ----,     ------,      -----
         1          1          1,          1,          1
         2          4          8,         16,         32
         3          9         27,         81,        243
         4         16         64,        256,       1024
         5         25        125,        625,       3125
         6         36        216,       1296,       7776
         7         49        343,       2401,      16807
         8         64        512,       4096,      32768
         9         81        729,       6561,      59049
        10        100       1000,      10000,     100000
        11        121       1331,      14641,     161051
        12        144       1728,      20736,     248832
        13        169       2197,      28561,     371293
        14        196       2744,      38416,     537824
        15        225       3375,      50625,     759375
